episode,win_rate,epsilon
25300,0.465,0.1
25400,0.43,0.1
25500,0.565,0.1
25600,0.54,0.1
25700,0.54,0.1
25800,0.645,0.1
25900,0.465,0.1
26000,0.4,0.1
26100,0.405,0.1
26200,0.52,0.1
26300,0.43,0.1
26400,0.48,0.1
26500,0.52,0.1
26600,0.55,0.1
26700,0.5,0.1
26800,0.5,0.1
26900,0.57,0.1
27000,0.48,0.1
27100,0.46,0.1
27200,0.495,0.1
27300,0.605,0.1
27400,0.51,0.1
27500,0.475,0.1
27600,0.56,0.1
27700,0.535,0.1
27800,0.49,0.1
27900,0.5,0.1
28000,0.445,0.1
28100,0.54,0.1
28200,0.585,0.1
28300,0.6,0.1
28400,0.515,0.1
28500,0.465,0.1
28600,0.49,0.1
28700,0.46,0.1
28800,0.465,0.1
28900,0.47,0.1
29000,0.5,0.1
29100,0.575,0.1
29200,0.62,0.1
29300,0.535,0.1
29400,0.545,0.1
29500,0.435,0.1
29600,0.5,0.1
29700,0.475,0.1
29800,0.575,0.1
29900,0.53,0.1
30000,0.475,0.1
30100,0.545,0.1
30200,0.545,0.1
30300,0.51,0.1
30400,0.485,0.1
30500,0.52,0.1
30600,0.56,0.1
30700,0.51,0.1
30800,0.505,0.1
30900,0.59,0.1
31000,0.51,0.1
31100,0.565,0.1
31200,0.44,0.1
31300,0.49,0.1
31400,0.545,0.1
31500,0.455,0.1
31600,0.52,0.1
31700,0.605,0.1
31800,0.59,0.1
31900,0.595,0.1
32000,0.635,0.1
32100,0.565,0.1
32200,0.48,0.1
32300,0.505,0.1
32400,0.55,0.1
32500,0.5,0.1
32600,0.52,0.1
32700,0.57,0.1
32800,0.66,0.1
32900,0.575,0.1
33000,0.585,0.1
33100,0.47,0.1
33200,0.515,0.1
33300,0.43,0.1
33400,0.645,0.1
33500,0.545,0.1
33600,0.47,0.1
33700,0.585,0.1
33800,0.56,0.1
33900,0.505,0.1
34000,0.525,0.1
34100,0.47,0.1
34200,0.54,0.1
34300,0.705,0.1
34400,0.47,0.1
34500,0.53,0.1
34600,0.585,0.1
34700,0.52,0.1
34800,0.555,0.1
34900,0.6,0.1
35000,0.59,0.1
35100,0.59,0.1
35200,0.535,0.1
35300,0.64,0.1
35400,0.44,0.1
35500,0.495,0.1
35600,0.46,0.1
35700,0.52,0.1
35800,0.555,0.1
35900,0.53,0.1
36000,0.505,0.1
36100,0.48,0.1
36200,0.545,0.1
36300,0.63,0.1
36400,0.65,0.1
36500,0.56,0.1
36600,0.535,0.1
36700,0.595,0.1
36800,0.555,0.1
36900,0.535,0.1
37000,0.595,0.1
37100,0.61,0.1
37200,0.635,0.1
37300,0.585,0.1
37400,0.63,0.1
37500,0.565,0.1
37600,0.625,0.1
37700,0.645,0.1
37800,0.645,0.1
37900,0.635,0.1
38000,0.64,0.1
38100,0.73,0.1
38200,0.645,0.1
38300,0.665,0.1
38400,0.59,0.1
38500,0.605,0.1
38600,0.565,0.1
38700,0.565,0.1
38800,0.56,0.1
38900,0.555,0.1
39000,0.585,0.1
39100,0.58,0.1
39200,0.55,0.1
39300,0.555,0.1
39400,0.525,0.1
39500,0.545,0.1
39600,0.585,0.1
39700,0.56,0.1
39800,0.58,0.1
39900,0.575,0.1
40000,0.575,0.1
40100,0.56,0.1
40200,0.56,0.1
40300,0.62,0.1
40400,0.52,0.1
40500,0.615,0.1
40600,0.625,0.1
40700,0.625,0.1
40800,0.605,0.1
40900,0.625,0.1
41000,0.62,0.1
41100,0.6,0.1
41200,0.55,0.1
41300,0.68,0.1
41400,0.45,0.1
41500,0.57,0.1
41600,0.6,0.1
41700,0.62,0.1
41800,0.545,0.1
41900,0.495,0.1
